country,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,people_fully_vaccinated_per_hundred,code,continent,population,median_age,new_cases,new_deaths,new_vaccinations,trend_status
Chad,2020-01-31,0.0,0.0,0.0,0.0,,,,,TCD,Africa,18455319.0,15.10200023651123,0.0,0.0,0.0,Insufficient data
Guinea,2020-01-31,0.0,0.0,0.0,0.0,,,,,GIN,Africa,14055136.0,17.836000442504883,0.0,0.0,0.0,Insufficient data
Turkmenistan,2020-01-31,0.0,0.0,0.0,0.0,,,,,TKM,Asia,7230197.0,25.93099975585937,0.0,0.0,0.0,Insufficient data
Luxembourg,2020-01-31,0.0,0.0,0.0,0.0,,,,,LUX,Europe,653315.0,38.67599868774414,0.0,0.0,0.0,Stable
Azerbaijan,2020-01-31,0.0,0.0,0.0,0.0,,,,,AZE,Asia,10295307.0,32.0620002746582,0.0,0.0,0.0,Insufficient data
Marshall Islands,2020-01-31,0.0,0.0,0.0,0.0,,,,,MHL,Oceania,40094.0,20.96500015258789,0.0,0.0,0.0,Insufficient data
Dominica,2020-01-31,0.0,0.0,0.0,0.0,,,,,DMA,North America,66847.0,35.29499816894531,0.0,0.0,0.0,Insufficient data
Uruguay,2020-01-31,0.0,0.0,0.0,0.0,,,,,URY,South America,3390913.0,35.49599838256836,0.0,0.0,0.0,Increasing
Iraq,2020-01-31,0.0,0.0,0.0,0.0,,,,,IRQ,Asia,44070556.0,20.093000411987305,0.0,0.0,0.0,Insufficient data
Qatar,2020-01-31,0.0,0.0,0.0,0.0,,,,,QAT,Asia,2892466.0,32.45800018310547,0.0,0.0,0.0,Insufficient data
Sao Tome and Principe,2020-01-31,0.0,0.0,0.0,0.0,,,,,STP,Africa,226313.0,18.86899948120117,0.0,0.0,0.0,Insufficient data
Iran,2020-01-31,0.0,0.0,0.0,0.0,,,,,IRN,Asia,89524247.0,32.340999603271484,0.0,0.0,0.0,Insufficient data
Lesotho,2020-01-31,0.0,0.0,0.0,0.0,,,,,LSO,Africa,2286112.0,21.263999938964844,0.0,0.0,0.0,Insufficient data
Latvia,2020-01-31,0.0,0.0,0.0,0.0,,,,,LVA,Europe,1881059.0,42.94599914550781,0.0,0.0,0.0,Insufficient data
Argentina,2020-01-31,0.0,0.0,0.0,0.0,,,,,ARG,South America,45407904.0,31.73900032043457,0.0,0.0,0.0,Stable
Mauritius,2020-01-31,0.0,0.0,0.0,0.0,,,,,MUS,Africa,1276134.0,36.51300048828125,0.0,0.0,0.0,Insufficient data
Malta,2020-01-31,0.0,0.0,0.0,0.0,,,,,MLT,Europe,528194.0,39.74599838256836,0.0,0.0,0.0,Stable
Colombia,2020-01-31,0.0,0.0,0.0,0.0,,,,,COL,South America,51737944.0,31.18099975585937,0.0,0.0,0.0,Increasing
Venezuela,2020-01-31,0.0,0.0,0.0,0.0,,,,,VEN,South America,28213015.0,28.809999465942383,0.0,0.0,0.0,Insufficient data
Ukraine,2020-01-31,0.0,0.0,0.0,0.0,,,,,UKR,Europe,41048768.0,41.45100021362305,0.0,0.0,0.0,Improving
Haiti,2020-01-31,0.0,0.0,0.0,0.0,,,,,HTI,North America,11503603.0,23.25,0.0,0.0,0.0,Insufficient data
Rwanda,2020-01-31,0.0,0.0,0.0,0.0,,,,,RWA,Africa,13651025.0,19.21999931335449,0.0,0.0,0.0,Insufficient data
Lithuania,2020-01-31,0.0,0.0,0.0,0.0,,,,,LTU,Europe,2816923.0,42.632999420166016,0.0,0.0,0.0,Stable
Saint Helena,2020-01-31,0.0,0.0,0.0,0.0,,,,,SHN,Africa,5369.0,50.2140007019043,0.0,0.0,0.0,Insufficient data
Cyprus,2020-01-31,0.0,0.0,0.0,0.0,,,,,CYP,Europe,1331376.0,37.3390007019043,0.0,0.0,0.0,Stable
Jamaica,2020-01-31,0.0,0.0,0.0,0.0,,,,,JAM,North America,2839150.0,31.152999877929688,0.0,0.0,0.0,Insufficient data
Poland,2020-01-31,0.0,0.0,0.0,0.0,,,,,POL,Europe,38385734.0,40.86399841308594,0.0,0.0,0.0,Improving
Antigua and Barbuda,2020-01-31,0.0,0.0,0.0,0.0,,,,,ATG,North America,92850.0,35.071998596191406,0.0,0.0,0.0,Insufficient data
Uzbekistan,2020-01-31,0.0,0.0,0.0,0.0,,,,,UZB,Asia,34938953.0,26.836000442504883,0.0,0.0,0.0,Insufficient data
Serbia,2020-01-31,0.0,0.0,0.0,0.0,,,,,SRB,Europe,6791215.0,43.67499923706055,0.0,0.0,0.0,Insufficient data
Portugal,2020-01-31,0.0,0.0,0.0,0.0,,,,,PRT,Europe,10417074.0,45.805999755859375,0.0,0.0,0.0,Insufficient data
Democratic Republic of Congo,2020-01-31,0.0,0.0,0.0,0.0,,,,,COD,Africa,102396974.0,15.765999794006348,0.0,0.0,0.0,Insufficient data
Israel,2020-01-31,0.0,0.0,0.0,0.0,,,,,ISR,Asia,9103143.0,29.086000442504883,0.0,0.0,0.0,Insufficient data
Chile,2020-01-31,0.0,0.0,0.0,0.0,,,,,CHL,South America,19553033.0,35.5260009765625,0.0,0.0,0.0,Improving
Aruba,2020-01-31,0.0,0.0,0.0,0.0,,,,,ABW,North America,107792.0,40.766998291015625,0.0,0.0,0.0,Insufficient data
Italy,2020-01-31,3.0,0.05031944,0.0,0.0,,,,,ITA,Europe,59619106.0,47.11600112915039,3.0,0.0,0.0,Insufficient data
Samoa,2020-01-31,0.0,0.0,0.0,0.0,,,,,WSM,Oceania,215270.0,20.090999603271484,0.0,0.0,0.0,Insufficient data
Vatican,2020-01-31,0.0,0.0,0.0,0.0,,,,,VAT,Europe,513.0,59.875,0.0,0.0,0.0,Insufficient data
San Marino,2020-01-31,0.0,0.0,0.0,0.0,,,,,SMR,Europe,34113.0,46.78200149536133,0.0,0.0,0.0,Insufficient data
Afghanistan,2020-01-31,0.0,0.0,0.0,0.0,,,,,AFG,Asia,40578847.0,16.75200080871582,0.0,0.0,0.0,Insufficient data
Lebanon,2020-01-31,0.0,0.0,0.0,0.0,,,,,LBN,Asia,5744492.0,28.106000900268555,0.0,0.0,0.0,Insufficient data
Seychelles,2020-01-31,0.0,0.0,0.0,0.0,,,,,SYC,Africa,125533.0,33.38800048828125,0.0,0.0,0.0,Insufficient data
Libya,2020-01-31,0.0,0.0,0.0,0.0,,,,,LBY,Africa,7223804.0,26.91699981689453,0.0,0.0,0.0,Insufficient data
Ireland,2020-01-31,0.0,0.0,0.0,0.0,,,,,IRL,Europe,5110015.0,37.99700164794922,0.0,0.0,0.0,Stable
Saudi Arabia,2020-01-31,0.0,0.0,0.0,0.0,,,,,SAU,Asia,32175351.0,28.731000900268555,0.0,0.0,0.0,Insufficient data
Senegal,2020-01-31,0.0,0.0,0.0,0.0,,,,,SEN,Africa,17651099.0,18.88800048828125,0.0,0.0,0.0,Insufficient data
Hong Kong,2020-01-31,,,,,,,,,HKG,Asia,7465913.0,45.59099960327149,0.0,0.0,0.0,Insufficient data
Guyana,2020-01-31,0.0,0.0,0.0,0.0,,,,,GUY,South America,821638.0,25.304000854492188,0.0,0.0,0.0,Insufficient data
Madagascar,2020-01-31,0.0,0.0,0.0,0.0,,,,,MDG,Africa,30437261.0,18.718000411987305,0.0,0.0,0.0,Insufficient data
Guinea-Bissau,2020-01-31,0.0,0.0,0.0,0.0,,,,,GNB,Africa,2105535.0,18.732999801635746,0.0,0.0,0.0,Insufficient data
Australia,2020-01-31,9.0,0.3434985,0.0,0.0,,,,,AUS,Oceania,26200987.0,37.512001037597656,9.0,0.0,0.0,Insufficient data
Cuba,2020-01-31,0.0,0.0,0.0,0.0,,,,,CUB,North America,11059822.0,41.505001068115234,0.0,0.0,0.0,Insufficient data
Martinique,2020-01-31,0.0,0.0,0.0,0.0,,,,,MTQ,North America,349462.0,48.23899841308594,0.0,0.0,0.0,Insufficient data
Tuvalu,2020-01-31,0.0,0.0,0.0,0.0,,,,,TUV,Oceania,10012.0,24.256000518798828,0.0,0.0,0.0,Insufficient data
Iceland,2020-01-31,0.0,0.0,0.0,0.0,,,,,ISL,Europe,380368.0,35.74700164794922,0.0,0.0,0.0,Improving
United States,2020-01-31,8.0,0.023423726,0.0,0.0,,,,,USA,North America,341534041.0,37.720001220703125,8.0,0.0,0.0,Insufficient data
Malaysia,2020-01-31,8.0,0.2305775,0.0,0.0,,,,,MYS,Asia,34695494.0,29.572999954223636,8.0,0.0,0.0,Insufficient data
Hungary,2020-01-31,0.0,0.0,0.0,0.0,,,,,HUN,Europe,9684308.0,42.99300003051758,0.0,0.0,0.0,Improving
United Kingdom,2020-01-31,0.0,0.0,0.0,0.0,,,,,GBR,Europe,68179315.0,39.50400161743164,0.0,0.0,0.0,Improving
Anguilla,2020-01-31,0.0,0.0,0.0,0.0,,,,,AIA,North America,14202.0,37.77299880981445,0.0,0.0,0.0,Insufficient data
Curacao,2020-01-31,0.0,0.0,0.0,0.0,,,,,CUW,North America,185350.0,37.95399856567383,0.0,0.0,0.0,Insufficient data
Sierra Leone,2020-01-31,0.0,0.0,0.0,0.0,,,,,SLE,Africa,8276809.0,19.040000915527344,0.0,0.0,0.0,Insufficient data
Guernsey,2020-01-31,0.0,0.0,0.0,0.0,,,,,GGY,Europe,63750.0,43.880001068115234,0.0,0.0,0.0,Insufficient data
Romania,2020-01-31,0.0,0.0,0.0,0.0,,,,,ROU,Europe,19166776.0,42.39099884033203,0.0,0.0,0.0,Improving
Malawi,2020-01-31,0.0,0.0,0.0,0.0,,,,,MWI,Africa,20568731.0,17.334999084472656,0.0,0.0,0.0,Insufficient data
Comoros,2020-01-31,0.0,0.0,0.0,0.0,,,,,COM,Africa,834191.0,20.101999282836918,0.0,0.0,0.0,Insufficient data
Bangladesh,2020-01-31,0.0,0.0,0.0,0.0,,,,,BGD,Asia,169384891.0,24.989999771118164,0.0,0.0,0.0,Insufficient data
Mauritania,2020-01-31,0.0,0.0,0.0,0.0,,,,,MRT,Africa,4875644.0,16.992000579833984,0.0,0.0,0.0,Insufficient data
Liberia,2020-01-31,0.0,0.0,0.0,0.0,,,,,LBR,Africa,5373297.0,18.18000030517578,0.0,0.0,0.0,Insufficient data
Turks and Caicos Islands,2020-01-31,0.0,0.0,0.0,0.0,,,,,TCA,North America,45869.0,37.86600112915039,0.0,0.0,0.0,Insufficient data
Mexico,2020-01-31,0.0,0.0,0.0,0.0,,,,,MEX,North America,128613116.0,28.527999877929688,0.0,0.0,0.0,Increasing
Turkey,2020-01-31,0.0,0.0,0.0,0.0,,,,,TUR,Asia,87058469.0,32.071998596191406,0.0,0.0,0.0,Insufficient data
Uganda,2020-01-31,0.0,0.0,0.0,0.0,,,,,UGA,Africa,47312718.0,16.33799934387207,0.0,0.0,0.0,Insufficient data
Wallis and Futuna,2020-01-31,0.0,0.0,0.0,0.0,,,,,WLF,Oceania,11501.0,36.5989990234375,0.0,0.0,0.0,Insufficient data
Indonesia,2020-01-31,0.0,0.0,0.0,0.0,,,,,IDN,Asia,278830527.0,29.56100082397461,0.0,0.0,0.0,Insufficient data
Macao,2020-01-31,,,,,,,,,MAC,Asia,704360.0,37.83100128173828,0.0,0.0,0.0,Insufficient data
Czechia,2020-01-31,0.0,0.0,0.0,0.0,,,,,CZE,Europe,10673216.0,42.64500045776367,0.0,0.0,0.0,Stable
Angola,2020-01-31,0.0,0.0,0.0,0.0,,,,,AGO,Africa,35635028.0,16.389999389648438,0.0,0.0,0.0,Insufficient data
Saint Kitts and Nevis,2020-01-31,0.0,0.0,0.0,0.0,,,,,KNA,North America,46732.0,34.97100067138672,0.0,0.0,0.0,Insufficient data
Denmark,2020-01-31,0.0,0.0,0.0,0.0,,,,,DNK,Europe,5902901.0,41.21599960327149,0.0,0.0,0.0,Improving
Mali,2020-01-31,0.0,0.0,0.0,0.0,,,,,MLI,Africa,23072641.0,15.348999977111816,0.0,0.0,0.0,Insufficient data
Honduras,2020-01-31,0.0,0.0,0.0,0.0,,,,,HND,North America,10463880.0,23.20599937438965,0.0,0.0,0.0,Insufficient data
Isle of Man,2020-01-31,0.0,0.0,0.0,0.0,,,,,IMN,Europe,84148.0,45.47600173950195,0.0,0.0,0.0,Insufficient data
Liechtenstein,2020-01-31,0.0,0.0,0.0,0.0,,,,,LIE,Europe,39338.0,44.01399993896485,0.0,0.0,0.0,Insufficient data
Central African Republic,2020-01-31,0.0,0.0,0.0,0.0,,,,,CAF,Africa,5098038.0,14.29800033569336,0.0,0.0,0.0,Insufficient data
Bahrain,2020-01-31,0.0,0.0,0.0,0.0,,,,,BHR,Asia,1533460.0,31.683000564575195,0.0,0.0,0.0,Insufficient data
Armenia,2020-01-31,0.0,0.0,0.0,0.0,,,,,ARM,Asia,2880880.0,35.814998626708984,0.0,0.0,0.0,Insufficient data
Puerto Rico,2020-01-31,0.0,0.0,0.0,0.0,,,,,PRI,North America,3240972.0,45.196998596191406,0.0,0.0,0.0,Insufficient data
Maldives,2020-01-31,0.0,0.0,0.0,0.0,,,,,MDV,Asia,524116.0,30.339000701904297,0.0,0.0,0.0,Insufficient data
Bahamas,2020-01-31,0.0,0.0,0.0,0.0,,,,,BHS,North America,397542.0,34.23400115966797,0.0,0.0,0.0,Insufficient data
Vanuatu,2020-01-31,0.0,0.0,0.0,0.0,,,,,VUT,Oceania,313061.0,20.121000289916992,0.0,0.0,0.0,Insufficient data
United Arab Emirates,2020-01-31,4.0,0.3905455,0.0,0.0,,,,,ARE,Asia,10242085.0,30.902999877929688,4.0,0.0,0.0,Insufficient data
India,2020-01-31,1.0,0.000701546,0.0,0.0,,,,,IND,Asia,1425423209.0,27.68400001525879,1.0,0.0,0.0,Insufficient data
Vietnam,2020-01-31,2.0,0.020064073,0.0,0.0,,,,,VNM,Asia,99680656.0,31.9379997253418,2.0,0.0,0.0,Insufficient data
Mayotte,2020-01-31,0.0,0.0,0.0,0.0,,,,,MYT,Africa,305279.0,16.697999954223633,0.0,0.0,0.0,Insufficient data
Austria,2020-01-31,0.0,0.0,0.0,0.0,,,,,AUT,Europe,9064678.0,42.83200073242188,0.0,0.0,0.0,Improving
Andorra,2020-01-31,0.0,0.0,0.0,0.0,,,,,AND,Europe,79722.0,42.83200073242188,0.0,0.0,0.0,Insufficient data
Djibouti,2020-01-31,0.0,0.0,0.0,0.0,,,,,DJI,Africa,1137101.0,24.084999084472656,0.0,0.0,0.0,Insufficient data
United States Virgin Islands,2020-01-31,0.0,0.0,0.0,0.0,,,,,VIR,North America,86521.0,44.57099914550781,0.0,0.0,0.0,Insufficient data
