country,total_cases,new_cases,total_cases_per_million,total_deaths,new_deaths,total_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,people_fully_vaccinated_per_hundred,code,continent,population,median_age,trend_status,last_update
Western Sahara,,,,,,,,,,,,ESH,Africa,568746.0,31.697999954223636,Insufficient data,2022-04-20
Cote d'Ivoire,,,,,,,25263932.0,13568372.0,12164304.0,,40.020737,CIV,Africa,30395004.0,17.992000579833984,Insufficient data,2023-02-19
Transnistria,,,,,,,,,,,,OWID_TRS,Europe,,,Insufficient data,2023-12-31
Macao,,,,,,,1802985.0,679703.0,642266.0,,91.18433,MAC,Asia,704360.0,37.83100128173828,Insufficient data,2023-12-31
Hong Kong,,,,,,,21012392.0,6920057.0,6803288.0,,91.124664,HKG,Asia,7465913.0,45.59099960327149,Insufficient data,2024-08-12
Taiwan,,,,,,,68158990.0,21899240.0,20793088.0,,88.783066,TWN,Asia,23420107.0,42.91699981689453,Insufficient data,2024-09-23
Togo,39564.0,0.0,4903.4434,290.0,0.0,35.941727,3423181.0,2255579.0,1554066.0,,19.260626,TGO,Africa,8068616.0,18.113000869750977,Insufficient data,2026-04-26
Chile,5410523.0,0.0,276710.16,62892.0,0.0,3216.4832,66864900.0,18088516.0,17700116.0,,90.523636,CHL,South America,19553033.0,35.5260009765625,Improving,2026-04-26
Saint Vincent and the Grenadines,9674.0,0.0,94784.59,124.0,0.0,1214.9359,73443.0,37532.0,31632.0,,30.992622,VCT,North America,102063.0,33.632999420166016,Insufficient data,2026-04-26
Belgium,4908142.0,0.0,421595.97,34339.0,0.0,2949.6262,31469388.0,9261641.0,9170945.0,,78.77591,BEL,Europe,11641814.0,41.1510009765625,Stable,2026-04-26
Saint Lucia,30254.0,0.0,169211.5,410.0,0.0,2293.1418,122977.0,60140.0,54971.0,,30.74544,LCA,North America,178794.0,33.316001892089844,Insufficient data,2026-04-26
Saint Martin (French part),12324.0,0.0,426450.75,46.0,0.0,1591.7506,,,,,,MAF,North America,28899.0,38.400001525878906,Insufficient data,2026-04-26
Bangladesh,2052279.0,0.0,12116.068,29531.0,0.0,174.34259,361742560.0,151507170.0,142201680.0,,83.95181,BGD,Asia,169384891.0,24.989999771118164,Insufficient data,2026-04-26
Congo,25234.0,0.0,4181.2036,389.0,0.0,64.45622,833210.0,695760.0,654119.0,,10.838571,COG,Africa,6035104.0,18.20199966430664,Insufficient data,2026-04-26
Trinidad and Tobago,191496.0,0.0,128011.94,4390.0,0.0,2934.643,1592148.0,754399.0,718969.0,,48.061897,TTO,North America,1495923.0,36.22600173950195,Insufficient data,2026-04-26
Aruba,44224.0,0.0,410271.62,292.0,0.0,2708.921,174914.0,90546.0,84368.0,,78.26926,ABW,North America,107792.0,40.766998291015625,Insufficient data,2026-04-26
Bahrain,696614.0,0.0,454275.94,1536.0,0.0,1001.6564,3476633.0,1241174.0,1226796.0,,80.00182,BHR,Asia,1533460.0,31.683000564575195,Insufficient data,2026-04-26
Saint Pierre and Miquelon,3426.0,0.0,594791.7,2.0,0.0,347.22223,,,,,,SPM,North America,5760.0,45.98899841308594,Insufficient data,2026-04-26
Comoros,9109.0,0.0,10919.562,160.0,0.0,191.8026,835021.0,438825.0,397080.0,,47.60061,COM,Africa,834191.0,20.101999282836918,Insufficient data,2026-04-26
